ad_id,latitude,longitude,bairro,cidade
46530405,-27.113792419433597,-48.6097526550293,Morretes,Itapema
17434239,-27.12827,-48.59886,Meia Praia,Itapema
45184991,-27.12521,-48.60412,Meia Praia,Itapema
41532894,-27.12496,-48.60491,Meia Praia,Itapema
50312140,-27.12471,-48.61887,Morretes,Itapema
769611751302045150,-27.12179,-48.61988,Morretes,Itapema
40236441,-27.1229,-48.61899,Morretes,Itapema
32185033,-27.12515,-48.62953,Sertão do Trombudo,Itapema
743462426129087538,-27.12439,-48.63529,Sertão do Trombudo,Itapema
771206653555577778,-27.10594,-48.61873,Tabuleiro dos Oliveiras,Itapema
53674047,-27.09945,-48.62049,Tabuleiro dos Oliveiras,Itapema
768918152709858204,-27.120069468600864,-48.620121851563454,Morretes,Itapema
749906305739556786,-27.12213,-48.63193,Sertão do Trombudo,Itapema
38824444,-27.13265,-48.6194,Morretes,Itapema
769615154809715174,-27.12532,-48.61923,Morretes,Itapema
53592531,-27.12502,-48.62327,Morretes,Itapema
624633946203904422,-27.154991,-48.593098,Jardim Dourado,Porto Belo
40923146,-27.15546,-48.58804,Jardim Dourado,Porto Belo
607093395651339162,-27.15738,-48.58787,Jardim Dourado,Porto Belo
40968694,-27.15663,-48.5893,Jardim Dourado,Porto Belo
47579191,-27.15556,-48.5895,Jardim Dourado,Porto Belo
30957478,-27.15611,-48.59077,Jardim Dourado,Porto Belo
50743214,-27.15682,-48.57889,Alto Perequê,Porto Belo
688989834391341862,-27.1522,-48.57224,Perequê,Porto Belo
52666674,-27.15226,-48.57156,Perequê,Porto Belo
770166859449735630,-27.1483,-48.5797,Perequê,Porto Belo
48332300,-27.14933,-48.57653,Perequê,Porto Belo
22876986,-27.15278,-48.57561,Perequê,Porto Belo
28612430,-27.15298,-48.572,Perequê,Porto Belo
39132422,-27.14832,-48.58083,Perequê,Porto Belo
44377998,-27.1584,-48.56032,Vila Nova,Porto Belo
48379021,-27.15184,-48.57313,Perequê,Porto Belo
721156790377890389,-27.15837,-48.5712,Vila Nova,Porto Belo
49527447,-27.15151,-48.57356,Perequê,Porto Belo
770512976871686589,-27.15236,-48.57638,Perequê,Porto Belo
22401360,-27.15164,-48.57487,Perequê,Porto Belo
722556290324902184,-27.1529276,-48.5720869,Perequê,Porto Belo
40556586,-27.15997,-48.56457,Vila Nova,Porto Belo
48660818,-27.15336,-48.571243,Perequê,Porto Belo
53277044,-27.14921,-48.57665,Perequê,Porto Belo
46471869,-27.15741,-48.56907,Vila Nova,Porto Belo
622986798940783834,-27.15343,-48.57121,Perequê,Porto Belo
26258339,-27.15214,-48.57284,Perequê,Porto Belo
46318051,-27.14662,-48.58122,Perequê,Porto Belo
48252978,-27.1534,-48.57702,Perequê,Porto Belo
45515726,-27.153999,-48.573078,Perequê,Porto Belo
53415208,-27.15254,-48.57495,Perequê,Porto Belo
29851074,-27.154,-48.57308,Perequê,Porto Belo
47033568,-27.15753,-48.56967,Vila Nova,Porto Belo
46662931,-27.15378,-48.57308,Perequê,Porto Belo
49948623,-27.15338,-48.57107,Perequê,Porto Belo
46117077,-27.15508,-48.5706,Perequê,Porto Belo
41959142,-27.1527,-48.57478,Perequê,Porto Belo
46870908,-27.1583,-48.56394,Vila Nova,Porto Belo
51890745,-27.15538,-48.57319,Perequê,Porto Belo
47534033,-27.15741,-48.57429,Perequê,Porto Belo
760890719365873339,-27.15194,-48.57605,Perequê,Porto Belo
47221647,-27.15673,-48.57896,Alto Perequê,Porto Belo
22406201,-27.15685,-48.57639,Perequê,Porto Belo
759376490684055561,-27.15303,-48.5733,Perequê,Porto Belo
53895742,-27.15708,-48.5641,Vila Nova,Porto Belo
31199819,-27.15232,-48.57152,Perequê,Porto Belo
740367579417162170,-27.15489,-48.57182,Perequê,Porto Belo
762206976417884246,-27.15412341110771,-48.57082352042198,Perequê,Porto Belo
48378774,-27.15359,-48.57176,Perequê,Porto Belo
508081388970673187,-27.15738,-48.56815,Vila Nova,Porto Belo
43283443,-27.14728,-48.58143,Perequê,Porto Belo
566658674780462356,-27.153652,-48.573181,Perequê,Porto Belo
47018336,-27.14866,-48.57909,Perequê,Porto Belo
41133526,-27.15971,-48.56703,Vila Nova,Porto Belo
39752508,-27.15808,-48.57548,Perequê,Porto Belo
31326954,-27.15803,-48.5744,Perequê,Porto Belo
756559950023917974,-27.1531,-48.57276,Perequê,Porto Belo
689452680635282056,-27.15366,-48.57816,Perequê,Porto Belo
10703351,-27.15472,-48.56658,Perequê,Porto Belo
47033043,-27.15891,-48.56942,Perequê,Porto Belo
53343878,-27.15666,-48.5675,Vila Nova,Porto Belo
