ano_add,cidade,bairro,qtd_imoveis_bairro,qtd_diarias_anual,qtd_anuncios_ano,media_tax_mensal,media_tdm_oc_mes,fat_anual,fat/imovel,fat/anuncio,fat/diaria
2022/2023,Balneário Camboriú,Estaleirinho,18,2674,216,0.40601851851851856,320.44939814814813,1665451,92525.05555555556,7710.4212962962965,622.8313388182498
2022/2023,Camboriú,Cedro,1,0,12,0.0,0.0,0,0.0,0.0,0.0
2022/2023,Camboriú,Rio Pequeno,1,20,12,0.05416666666666667,83.33333333333333,10000,10000.0,833.3333333333334,500.0
2022/2023,Itapema,Alto São Bento,40,6119,492,0.4083943089430894,170.00678861788617,2493036,62325.9,5067.1463414634145,407.42539630658604
2022/2023,Itapema,Areal,4,814,48,0.554375,319.00124999999997,378411,94602.75,7883.5625,464.8783783783784
2022/2023,Itapema,Canto da Praia,16,2013,192,0.34432291666666665,370.4313020833333,1442249,90140.5625,7511.713541666667,716.4674615002484
2022/2023,Itapema,Casa Branca,48,7447,564,0.43340425531914895,191.86562056737588,2737593,57033.1875,4853.88829787234,367.61017859540755
2022/2023,Itapema,Centro,291,42172,3477,0.3981507046304285,408.1737819959735,33522395,115197.23367697594,9641.183491515674,794.896969553258
2022/2023,Itapema,Ilhota,31,3501,372,0.3085215053763441,177.08836021505374,1573793,50767.51612903226,4230.626344086021,449.52670665524136
2022/2023,Itapema,Jardim Praiamar,10,988,120,0.2693333333333333,111.83291666666668,204118,20411.8,1700.9833333333333,206.59716599190284
2022/2023,Itapema,Meia Praia,1350,179145,16163,0.36372455608488524,331.07015405555904,117971107,87386.00518518519,7298.83728268267,658.5230232493232
2022/2023,Itapema,Morretes,175,27343,2100,0.42745714285714287,253.13930000000002,13129038,75023.07428571429,6251.9228571428575,480.16084555462095
2022/2023,Itapema,Sertão do Trombudo,3,302,36,0.2752777777777778,357.9166666666667,271250,90416.66666666667,7534.722222222223,898.1788079470199
2022/2023,Itapema,Sertãozinho,9,670,108,0.20342592592592593,234.9237962962963,581200,64577.77777777778,5381.481481481482,867.4626865671642
2022/2023,Itapema,Tabuleiro dos Oliveiras,42,7326,504,0.47700396825396824,261.02132936507934,3444186,82004.42857142857,6833.702380952381,470.13185913185913
2022/2023,Itapema,Várzea,19,1907,225,0.2778222222222222,205.66244444444445,1067010,56158.42105263158,4742.266666666666,559.5228106974305
2022/2023,Porto Belo,Alto Perequê,13,1328,156,0.27974358974358976,148.69179487179485,480315,36947.307692307695,3078.9423076923076,361.68298192771084
2022/2023,Porto Belo,Jardim Dourado,59,11303,684,0.5416812865497076,239.2739619883041,4294939,72795.57627118644,6279.150584795321,379.98221711050167
2022/2023,Porto Belo,Perequê,151,22554,1848,0.40048160173160174,396.18925324675325,17214085,114000.56291390728,9314.98106060606,763.2386716325263
2022/2023,Porto Belo,Vila Nova,27,4457,324,0.4511728395061729,195.65521604938272,1430108,52966.96296296296,4413.913580246914,320.86784832847206
